time,connect,request 
0,1395.697998046875,1565.868896484375 
10,1395.697998046875,1565.868896484375 
20,1395.697998046875,1565.868896484375 
30,1395.697998046875,1565.868896484375 
40,1395.697998046875,1565.868896484375 
50,1395.697998046875,1565.868896484375 
60,1395.697998046875,1565.868896484375 
70,1395.697998046875,1565.868896484375 
80,1395.697998046875,1565.868896484375 
90,1925.583984375,2344.319091796875 
100,1925.583984375,6130.140869140625 
110,2138.909912109375,7657.02392578125 
120,2138.909912109375,7657.02392578125 
130,2785.717041015625,7657.02392578125 
140,8873.611083984375,11103.442138671875 
150,8873.611083984375,16199.403076171875 
160,9434.8291015625,17015.514892578125 
170,9434.8291015625,17015.514892578125 
180,9434.8291015625,17015.514892578125 
189,9434.8291015625,17015.514892578125 
