time,session 
0,6914.0859375 
10,7121.97314453125 
20,7179.511962890625 
30,7179.511962890625 
40,7179.511962890625 
50,7206.963134765625 
60,7206.963134765625 
70,7994.739990234375 
80,74218.31176757813 
90,74218.31176757813 
100,74218.31176757813 
110,74218.31176757813 
120,74218.31176757813 
130,74218.31176757813 
140,74218.31176757813 
150,81926.576171875 
160,125631.34106445313 
170,125631.34106445313 
180,125631.34106445313 
190,149957.88989257813 
200,149957.88989257813 
210,149957.88989257813 
220,149957.88989257813 
230,225592.29907226563 
240,225592.29907226563 
250,225592.29907226563 
260,225592.29907226563 
270,225592.29907226563 
280,225592.29907226563 
290,225592.29907226563 
300,225592.29907226563 
310,226439.61499023438 
320,226439.61499023438 
330,226439.61499023438 
340,226439.61499023438 
350,226439.61499023438 
360,226439.61499023438 
370,226439.61499023438 
380,233966.37817382813 
390,233966.37817382813 
400,233966.37817382813 
410,234379.59619140625 
420,309109.2741699219 
430,309109.2741699219 
440,309109.2741699219 
450,309109.2741699219 
460,309109.2741699219 
470,309109.2741699219 
480,309109.2741699219 
490,309109.2741699219 
500,309109.2741699219 
510,309109.2741699219 
520,309109.2741699219 
524,376385.10302734375 
