time,session 
0,6914.0859375 
10,7039.7540283203125 
20,7177.030029296875 
30,0 
40,6982.60205078125 
50,6981.770914713542 
60,7175.534912109375 
70,7365.9317626953125 
80,21254.325048828126 
90,7982.0203125 
100,7222.690979003906 
110,13980.410473632812 
120,7719.262646484375 
130,7373.785217285156 
140,7323.0376383463545 
150,38974.806179470484 
160,74257.45336914063 
170,61466.74215262277 
180,79888.6993001302 
190,13353.988409745065 
200,29201.83232421875 
210,83069.51098632813 
220,117373.99774169922 
230,117448.16025390624 
240,115814.89762369792 
250,142998.09509277344 
260,77669.36758961398 
270,112789.97039794922 
280,134311.36749267578 
290,150483.38403320313 
300,0 
310,138541.50592447913 
320,132253.59497070313 
330,150354.15302734374 
340,157076.758984375 
350,158118.75732421875 
360,207669.06591796875 
370,0 
380,233966.37817382813 
390,204845.8345336914 
400,207430.78393554688 
410,228725.89412434897 
420,271215.373046875 
430,0 
440,0 
450,0 
460,0 
470,0 
480,0 
490,0 
500,0 
510,0 
520,0 
524,376385.10302734375 
