time,session 
0,0 
10,82.2191162109375 
20,2.48193359375 
30,0 
40,0.0 
50,183.53681783214165 
60,0.0 
70,396.89014678880983 
80,26491.642942602768 
90,850.0238570400151 
100,499.4247967570799 
110,20081.27665856641 
120,289.38865589445527 
130,555.2824242114111 
140,480.8562112780367 
150,35228.70814652586 
160,30216.077084706165 
170,33524.92398782267 
180,3599.25665231398 
190,24876.51845605676 
200,31828.726065674124 
210,0.0 
220,20029.04750923589 
230,57601.42893106869 
240,23223.836719402487 
250,15161.465942382813 
260,4032.300167353316 
270,42473.478694972146 
280,14023.032491959168 
290,0.0 
300,0 
310,24733.35158510616 
320,0.0 
330,76.25141339608918 
340,3558.9859769165537 
350,21.946212676759025 
360,0.0 
370,0 
380,0.0 
390,2778.9762124361278 
400,0.0 
410,3998.6741406540723 
420,37893.901123046875 
430,0 
440,0 
450,0 
460,0 
470,0 
480,0 
490,0 
500,0 
510,0 
520,0 
524,0.0 
