time,page 
10,95.2400232236272 
20,2.42041015625 
30,0 
40,0.0 
50,183.56128441746503 
60,0.0 
70,396.73336401726306 
80,26491.504253727082 
90,920.8518636970692 
100,649.2173527881888 
110,20081.03182506051 
120,289.67608604244856 
130,555.3051251575133 
140,480.6143163513568 
150,35228.50689054061 
160,24749.44665620469 
170,37864.6969826175 
180,3599.367564475041 
190,25533.71752580473 
200,25758.84785292397 
210,0.0 
220,22565.728273726745 
230,20803.548043355284 
240,23223.768563855854 
250,0.0 
260,12474.563913533248 
270,41110.87221892263 
280,51511.75455697811 
290,0 
300,0.0 
310,16214.500650435515 
320,0.0 
330,84.79435965494625 
340,67192.16477831472 
350,23.315110162752465 
360,0.0 
370,0 
380,0.0 
390,2778.8162977845213 
400,0.0 
410,3944.6493606842123 
420,37504.175537109375 
430,0 
440,0 
450,0 
460,0 
470,0 
480,0 
490,0 
500,0 
510,0 
520,0 
524,0.0 
