time,connected,users 
0,3,5 
10,-1,5 
20,-2,5 
30,1,5 
40,0,6 
50,0,8 
60,2,9 
70,2,14 
80,-2,17 
90,0,28 
100,3,37 
110,0,37 
120,-2,41 
130,3,46 
140,-2,46 
150,2,49 
160,2,51 
170,-3,51 
180,30,104 
190,-19,128 
200,-8,128 
210,1,128 
220,2,128 
230,-3,128 
240,-2,128 
250,22,128 
260,-5,128 
270,-8,128 
280,-3,128 
290,2,128 
300,2,128 
310,-15,128 
320,2,128 
330,7,128 
340,-2,128 
350,-3,128 
360,-1,128 
370,1,128 
380,-1,128 
390,-4,128 
400,1,128 
410,-1,128 
420,-1,128 
430,0,128 
440,0,128 
450,0,128 
460,0,128 
470,0,128 
480,0,128 
490,0,128 
500,0,128 
510,0,128 
520,1,128 
524,-1,128 
