time,users_count,finish_users_count 
0,5,1 
10,7,3 
20,7,5 
30,8,5 
40,12,6 
50,15,9 
60,19,10 
70,27,14 
80,36,19 
90,51,24 
100,62,28 
110,73,38 
120,84,43 
130,93,47 
140,98,53 
150,107,62 
160,115,70 
170,115,77 
180,184,80 
190,215,118 
200,215,128 
210,215,129 
220,215,133 
230,215,138 
240,215,141 
250,215,143 
260,215,160 
270,215,168 
280,215,172 
290,215,173 
300,215,173 
310,215,188 
320,215,189 
330,215,194 
340,215,199 
350,215,202 
360,215,203 
370,215,203 
380,215,204 
390,215,208 
400,215,209 
410,215,212 
420,215,214 
430,215,214 
440,215,214 
450,215,214 
460,215,214 
470,215,214 
480,215,214 
490,215,214 
500,215,214 
510,215,214 
520,215,214 
524,215,215 
