time,freemem@tsung_controller_74@Wonko-the-Sane 
0,27.83984375 
10,27.83984375 
20,27.83984375 
30,27.83984375 
40,27.83984375 
50,27.83984375 
60,32.73828125 
70,32.73828125 
80,32.73828125 
90,32.73828125 
100,32.73828125 
110,32.73828125 
120,32.73828125 
130,32.73828125 
140,32.73828125 
150,32.73828125 
160,32.73828125 
170,32.73828125 
180,32.73828125 
190,32.73828125 
200,40.1015625 
210,40.1015625 
220,55.9375 
230,55.9375 
240,55.9375 
250,55.9375 
260,55.9375 
270,55.9375 
280,55.9375 
290,55.9375 
300,55.9375 
310,55.9375 
320,55.9375 
330,55.9375 
340,55.9375 
350,55.9375 
360,55.9375 
370,59.453125 
380,59.453125 
390,59.453125 
400,59.453125 
410,59.453125 
420,77.50390625 
430,77.50390625 
440,77.50390625 
450,77.50390625 
460,77.50390625 
470,77.50390625 
480,77.50390625 
490,77.50390625 
500,77.50390625 
510,77.50390625 
520,77.50390625 
