time,connect,request 
0,139.839111328125,828.510986328125 
10,139.839111328125,828.510986328125 
20,139.839111328125,1102.951171875 
30,139.839111328125,1102.951171875 
40,139.839111328125,1102.951171875 
50,139.839111328125,1102.951171875 
60,139.839111328125,1102.951171875 
70,139.839111328125,1102.951171875 
80,139.839111328125,1102.951171875 
90,139.839111328125,1102.951171875 
100,139.839111328125,1389.791015625 
110,139.839111328125,1389.791015625 
120,139.839111328125,1389.791015625 
130,139.839111328125,1389.791015625 
140,139.839111328125,1389.791015625 
150,139.839111328125,1389.791015625 
160,139.839111328125,1389.791015625 
170,139.839111328125,1389.791015625 
180,139.839111328125,1389.791015625 
187,139.839111328125,1389.791015625 
