time,connect,request 
0,0.3, 
10,0.2,0.3 
20,0,0.2 
30,0.1,0 
40,0.1,0.1 
50,0.3,0.3 
60,0.3,0.1 
70,0.6,0.4 
80,0.3,0.5 
90,0.4,0.4 
100,0.8,0.5 
110,1,1 
120,0.3,0.5 
130,0.7,0.4 
140,0.4,0.6 
150,1.1,0.9 
160,0.9,0.7 
170,0.5,0.8 
180,3.3,0.3 
190,1.7,3.6 
200,0.3,1.1 
210,0.2,0.1 
220,0.7,0.5 
230,0.2,0.5 
240,0.1,0.3 
250,2.3,0.1 
260,1.2,1.7 
270,0.1,0.9 
280,0.1,0.4 
290,0.2,0 
300,0.3,0.1 
310,0,1.5 
320,0.3,0.1 
330,1.1,0.4 
340,0.4,0.6 
350,0,0.3 
360,0,0.1 
370,0.1,0 
380,0,0.1 
390,0,0.4 
400,0.2,0.1 
410,0.2,0.3 
420,0.1,0.2 
430,0,0 
440,0,0 
450,0,0 
460,0,0 
470,0,0 
480,0,0 
490,0,0 
500,0,0 
510,0,0 
520,0.1,0 
524,0,0.1 
