time,session 
0,6914.0859375 
10,6914.0859375 
20,6914.0859375 
30,6914.0859375 
40,6914.0859375 
50,6757.393798828125 
60,6757.393798828125 
70,6757.393798828125 
80,6757.393798828125 
90,6757.393798828125 
100,6676.39990234375 
110,6644.126953125 
120,6644.126953125 
130,6644.126953125 
140,6644.126953125 
150,6644.126953125 
160,6644.126953125 
170,6644.126953125 
180,6644.126953125 
190,6644.126953125 
200,6644.126953125 
210,6644.126953125 
220,6644.126953125 
230,6644.126953125 
240,6644.126953125 
250,6644.126953125 
260,6644.126953125 
270,6644.126953125 
280,6644.126953125 
290,6644.126953125 
300,6644.126953125 
310,6644.126953125 
320,6644.126953125 
330,6644.126953125 
340,6644.126953125 
350,6644.126953125 
360,6644.126953125 
370,6644.126953125 
380,6644.126953125 
390,6644.126953125 
400,6644.126953125 
410,6644.126953125 
420,6644.126953125 
430,6644.126953125 
440,6644.126953125 
450,6644.126953125 
460,6644.126953125 
470,6644.126953125 
480,6644.126953125 
490,6644.126953125 
500,6644.126953125 
510,6644.126953125 
520,6644.126953125 
524,6644.126953125 
