time,size_sent,size_rcv 
0,0.3375, 
10,0.225,0.00234375 
20,0,0.0015625 
30,0.1125,0 
40,0.11875,0.00078125 
50,0.34375,0.00234375 
60,0.34375,0.00078125 
70,0.675,0.003125 
80,0.35,0.00390625 
90,0.45625,0.003125 
100,0.91875,0.00390625 
110,1.125,0.0078125 
120,0.3375,0.00390625 
130,0.79375,0.003125 
140,0.45625,0.0046875 
150,1.2625,0.00703125 
160,1.01875,0.00546875 
170,0.5625,0.17109375 
180,3.7625,0.00234375 
190,1.95625,0.02734375 
200,0.3375,0.00859375 
210,0.225,0.00078125 
220,0.7875,0.3328125 
230,0.2375,0.16875 
240,0.1125,0.00078125 
250,2.625,0.00078125 
260,1.3625,0.178125 
270,0.11875,0.17109375 
280,0.1125,0.49765625 
290,0.225,0 
300,0.3375,0.00078125 
310,0,1.16171875 
320,0.3375,0 
330,1.24375,0.003125 
340,0.45,0.0046875 
350,0,0.00234375 
360,0,0 
370,0.11875,0 
380,0,0.00078125 
390,0,0.33125 
400,0.225,0 
410,0.225,0.00234375 
420,0.1125,0.0015625 
430,0,0 
440,0,0 
450,0,0 
460,0,0 
470,0,0 
480,0,0 
490,0,0 
500,0,0 
510,0,0 
520,0.1125,0 
524,0,0.00078125 
