time,page 
10,7119.869873046875 
20,7177.406982421875 
30,7177.406982421875 
40,7177.406982421875 
50,7205.177001953125 
60,7205.177001953125 
70,7992.68017578125 
80,74215.74389648438 
90,74215.74389648438 
100,74215.74389648438 
110,74215.74389648438 
120,74215.74389648438 
130,74215.74389648438 
140,74215.74389648438 
150,81924.208984375 
160,82414.92407226563 
170,125629.02783203125 
180,125629.02783203125 
190,149956.416015625 
200,149956.416015625 
210,149956.416015625 
220,149956.416015625 
230,149956.416015625 
240,149956.416015625 
250,149956.416015625 
260,149956.416015625 
270,203826.72583007813 
280,203826.72583007813 
290,203826.72583007813 
300,203826.72583007813 
310,203826.72583007813 
320,203826.72583007813 
330,203826.72583007813 
340,203826.72583007813 
350,203826.72583007813 
360,207667.208984375 
370,207667.208984375 
380,207667.208984375 
390,207667.208984375 
400,207667.208984375 
410,207667.208984375 
420,207667.208984375 
430,207667.208984375 
440,207667.208984375 
450,207667.208984375 
460,207667.208984375 
470,207667.208984375 
480,207667.208984375 
490,207667.208984375 
500,207667.208984375 
510,207667.208984375 
520,207667.208984375 
524,207667.208984375 
