time,page 
10,6894.43408203125 
20,6894.43408203125 
30,6894.43408203125 
40,6894.43408203125 
50,6755.548828125 
60,6755.548828125 
70,6755.548828125 
80,6755.548828125 
90,6755.548828125 
100,6674.453125 
110,6641.6611328125 
120,6641.6611328125 
130,6641.6611328125 
140,6641.6611328125 
150,6641.6611328125 
160,6641.6611328125 
170,6641.6611328125 
180,6641.6611328125 
190,6641.6611328125 
200,6641.6611328125 
210,6641.6611328125 
220,6641.6611328125 
230,6641.6611328125 
240,6641.6611328125 
250,6641.6611328125 
260,6641.6611328125 
270,6641.6611328125 
280,6641.6611328125 
290,6641.6611328125 
300,6641.6611328125 
310,6641.6611328125 
320,6641.6611328125 
330,6641.6611328125 
340,6641.6611328125 
350,6641.6611328125 
360,6641.6611328125 
370,6641.6611328125 
380,6641.6611328125 
390,6641.6611328125 
400,6641.6611328125 
410,6641.6611328125 
420,6641.6611328125 
430,6641.6611328125 
440,6641.6611328125 
450,6641.6611328125 
460,6641.6611328125 
470,6641.6611328125 
480,6641.6611328125 
490,6641.6611328125 
500,6641.6611328125 
510,6641.6611328125 
520,6641.6611328125 
524,6641.6611328125 
