time,connected,users 
0,3,4 
10,2,4 
20,0,2 
30,1,3 
40,1,6 
50,1,6 
60,3,9 
70,5,13 
80,3,17 
90,3,27 
100,6,34 
110,6,35 
120,4,41 
130,7,46 
140,5,45 
150,7,45 
160,9,45 
170,6,38 
180,36,104 
190,17,97 
200,9,87 
210,10,86 
220,12,82 
230,9,77 
240,7,74 
250,29,72 
260,24,55 
270,16,47 
280,13,43 
290,15,42 
300,17,42 
310,2,27 
320,4,26 
330,11,21 
340,9,16 
350,6,13 
360,5,12 
370,6,12 
380,5,11 
390,1,7 
400,2,6 
410,1,3 
420,0,1 
430,0,1 
440,0,1 
450,0,1 
460,0,1 
470,0,1 
480,0,1 
490,0,1 
500,0,1 
510,0,1 
520,1,1 
524,0,0 
