time,freemem@tsung_controller_74@Wonko-the-Sane 
0,27.83984375 
10,20.08203125 
20,17.43359375 
30,19.85546875 
40,17.046875 
50,25.61328125 
60,32.73828125 
70,15.4140625 
80,27.74609375 
90,19.51953125 
100,23.328125 
110,32.03515625 
120,25.10546875 
130,17.63671875 
140,17.234375 
150,29.31640625 
160,22.69921875 
170,16.9140625 
180,18.69921875 
190,17.23828125 
200,40.1015625 
210,21.27734375 
220,55.9375 
230,16.21875 
240,24.37890625 
250,19.0234375 
260,34.42578125 
270,32.625 
280,20.56640625 
290,16.609375 
300,18.5234375 
310,19.58203125 
320,20.69921875 
330,27.6484375 
340,16.65234375 
350,17.21875 
360,16.1796875 
370,59.453125 
380,29.16015625 
390,25.76171875 
400,59.390625 
410,32.1171875 
420,77.50390625 
430,30.640625 
440,25.18359375 
450,19.96484375 
460,20.515625 
470,17.35546875 
480,18.8828125 
490,22.1953125 
500,17.3046875 
510,18.1484375 
520,17.578125 
