time,load@tsung_controller_74@Wonko-the-Sane 
0,3.07421875 
10,3.07421875 
20,3.07421875 
30,3.07421875 
40,3.07421875 
50,3.07421875 
60,3.07421875 
70,3.07421875 
80,3.07421875 
90,3.07421875 
100,3.07421875 
110,3.07421875 
120,3.07421875 
130,3.07421875 
140,3.07421875 
150,3.07421875 
160,3.07421875 
170,3.07421875 
180,3.07421875 
190,3.07421875 
200,3.07421875 
210,3.07421875 
220,3.07421875 
230,3.07421875 
240,3.07421875 
250,3.07421875 
260,3.07421875 
270,3.125 
280,4.15234375 
290,4.15234375 
300,4.15234375 
310,4.15234375 
320,4.15234375 
330,4.15234375 
340,4.15234375 
350,4.15234375 
360,4.15234375 
370,4.15234375 
380,4.15234375 
390,4.15234375 
400,4.15234375 
410,4.15234375 
420,4.15234375 
430,4.15234375 
440,4.15234375 
450,4.15234375 
460,4.15234375 
470,4.15234375 
480,4.15234375 
490,4.15234375 
500,4.15234375 
510,4.15234375 
520,4.15234375 
