time,load@tsung_controller_74@Wonko-the-Sane 
0,3.07421875 
10,2.828125 
20,2.62890625 
30,2.62890625 
40,2.50390625 
50,2.41796875 
60,2.41796875 
70,2.41796875 
80,2.41796875 
90,2.41796875 
100,2.41796875 
110,2.41796875 
120,2.41796875 
130,2.41796875 
140,2.3515625 
150,2.3046875 
160,2.02734375 
170,1.94921875 
180,1.8828125 
190,1.8203125 
200,1.8203125 
210,1.78515625 
220,1.78515625 
230,1.78515625 
240,1.78515625 
250,1.78515625 
260,1.78515625 
270,1.78515625 
280,1.78515625 
290,1.78515625 
300,1.78515625 
310,1.78515625 
320,1.78515625 
330,1.78515625 
340,1.78515625 
350,1.78515625 
360,1.78515625 
370,1.78515625 
380,1.78515625 
390,1.78515625 
400,1.78515625 
410,1.78515625 
420,1.78515625 
430,1.78515625 
440,1.78515625 
450,1.78515625 
460,1.78515625 
470,1.78515625 
480,1.78515625 
490,1.78515625 
500,1.78515625 
510,1.78515625 
520,1.78515625 
