time,request,connect 
9,5185.825927734375,5114.405029296875 
19,5185.825927734375,5114.405029296875 
29,5185.825927734375,5114.405029296875 
39,5185.825927734375,5114.405029296875 
49,5185.825927734375,5114.405029296875 
59,5185.825927734375,5114.405029296875 
69,5185.825927734375,5114.405029296875 
79,5185.825927734375,5114.405029296875 
89,5185.825927734375,5114.405029296875 
99,5185.825927734375,5114.405029296875 
109,5185.825927734375,5114.405029296875 
119,5185.825927734375,5114.405029296875 
129,5185.825927734375,5114.405029296875 
139,5185.825927734375,5114.405029296875 
149,5185.825927734375,5114.405029296875 
159,5185.825927734375,5114.405029296875 
169,5185.825927734375,5114.405029296875 
179,5185.825927734375,5114.405029296875 
