time,connect,request 
0,91.4814453125,147.7034912109375 
10,52.9697265625,109.937744140625 
20,51.5361328125,104.278076171875 
30,0,0 
40,72.37996419270833,127.24129231770833 
50,60.39892578125,119.167724609375 
60,63.343709309895836,123.51627604166667 
70,51.626123046875,109.51162109375 
80,52.723246256510414,114.93440755208333 
90,50.492350260416664,107.03047688802083 
100,54.01826171875,110.60999348958333 
110,137.0193074544271,193.69694010416666 
120,52.41399591619318,106.77605646306819 
130,52.65888671875,107.92516276041667 
140,51.522705078125,106.27487521701389 
150,51.996533203125,106.37607421875 
160,0,0 
170,0,0 
180,53.9343505859375,113.50320521763393 
190,55.03917643229167,111.97493489583333 
200,0,0 
210,0,0 
220,0,0 
230,0,0 
240,0,0 
250,0,0 
260,0,0 
270,0,0 
280,0,0 
290,0,0 
300,62.5885009765625,116.7574462890625 
310,54.189697265625,110.20050048828125 
320,51.610107421875,102.551025390625 
330,52.89306640625,108.31396484375 
340,54.6500244140625,109.179931640625 
350,84.885986328125,139.501953125 
360,51.635986328125,104.31103515625 
370,63.008544921875,118.81047712053571 
380,52.83339146205357,105.623291015625 
390,52.7264404296875,106.2265625 
400,53.63108607700893,110.78463309151786 
410,49.980029296875,104.6858154296875 
420,53.89186789772727,110.22083629261364 
430,53.89410955255682,111.67697975852273 
440,66.228076171875,118.399365234375 
450,53.09814453125,108.33876953125 
460,55.40057732077206,109.2603400735294 
470,53.18818359375,110.5326171875 
480,51.58859049479167,107.2274969692888 
490,52.06093052455357,106.85879387654049 
500,0,0 
510,0,0 
520,0,0 
530,0,0 
540,0,0 
550,0,0 
560,0,0 
570,0,0 
580,0,0 
590,0,0 
600,68.072021484375,119.0859375 
610,54.017985026041664,107.5166015625 
620,50.214208984375,104.9990234375 
630,52.17158203125,107.827978515625 
640,0,0 
650,0,0 
660,52.55430385044643,109.47471400669643 
670,53.02113560267857,107.45028250558036 
680,53.27197265625,111.38894314236111 
690,52.61403111049107,107.75167142427884 
700,51.84404296875,106.65946821732955 
710,56.934956868489586,113.01582845052083 
720,53.3107177734375,107.8694091796875 
730,51.1480224609375,106.4327880859375 
740,55.194091796875,110.66153971354167 
750,52.79599609375,118.1650390625 
760,0,0 
770,0,0 
780,51.081637474798384,106.4826904296875 
790,73.33361285665761,139.91395786830358 
793,0,0 
