time,session 
0,158.00146484375 
10,111.95157877604167 
20,107.130859375 
30,0 
40,129.605712890625 
50,121.15193684895833 
60,125.63151041666667 
70,111.5800537109375 
80,116.58257587139423 
90,108.95537109375 
100,112.9419921875 
110,195.8247273763021 
120,108.90656072443181 
130,109.90079752604167 
140,108.4938720703125 
150,107.781005859375 
160,0 
170,0 
180,115.40817599826389 
190,114.6942138671875 
200,0 
210,0 
220,0 
230,0 
240,0 
250,0 
260,0 
270,0 
280,0 
290,0 
300,119.04345703125 
310,112.4000244140625 
320,104.414794921875 
330,110.6240234375 
340,111.0504150390625 
350,141.570068359375 
360,106.580810546875 
370,120.89697265625 
380,107.899169921875 
390,108.05929904513889 
400,113.41207181490384 
410,106.8683349609375 
420,112.2517977627841 
430,113.9729891690341 
440,120.451611328125 
450,110.430322265625 
460,111.32722024356617 
470,112.5908203125 
480,109.04295349121094 
490,109.01755299287684 
500,0 
510,0 
520,0 
530,0 
540,0 
550,0 
560,0 
570,0 
580,0 
590,0 
600,121.549560546875 
610,109.82511393229167 
620,107.201513671875 
630,110.125390625 
640,0 
650,0 
660,111.540283203125 
670,109.49644252232143 
680,112.3601318359375 
690,110.27991661658653 
700,108.513037109375 
710,114.92177327473958 
720,110.48197798295455 
730,107.57099066840277 
740,112.64599609375 
750,119.91240234375 
760,0 
770,0 
780,108.11796061197917 
790,145.44406890869138 
793,0 
