time,session 
0,112.056884765625 
10,109.1318359375 
20,107.130859375 
30,107.130859375 
40,106.0 
50,106.0 
60,106.0 
70,102.26220703125 
80,101.5361328125 
90,101.5361328125 
100,101.5361328125 
110,101.5361328125 
120,101.5361328125 
130,101.5361328125 
140,101.5361328125 
150,101.5361328125 
160,101.5361328125 
170,101.5361328125 
180,98.259765625 
190,98.259765625 
200,98.259765625 
210,98.259765625 
220,98.259765625 
230,98.259765625 
240,98.259765625 
250,98.259765625 
260,98.259765625 
270,98.259765625 
280,98.259765625 
290,98.259765625 
300,98.259765625 
310,98.259765625 
320,98.259765625 
330,98.259765625 
340,98.259765625 
350,98.259765625 
360,98.259765625 
370,98.2490234375 
380,98.2490234375 
390,98.2490234375 
400,98.2490234375 
410,98.2490234375 
420,98.2490234375 
430,98.2490234375 
440,98.2490234375 
450,98.2490234375 
460,98.2490234375 
470,98.2490234375 
480,98.2490234375 
490,96.126953125 
500,96.126953125 
510,96.126953125 
520,96.126953125 
530,96.126953125 
540,96.126953125 
550,96.126953125 
560,96.126953125 
570,96.126953125 
580,96.126953125 
590,96.126953125 
600,96.126953125 
610,96.126953125 
620,96.126953125 
630,96.126953125 
640,96.126953125 
650,96.126953125 
660,96.126953125 
670,96.126953125 
680,96.126953125 
690,96.126953125 
700,96.126953125 
710,96.126953125 
720,96.126953125 
730,96.126953125 
740,96.126953125 
750,96.126953125 
760,96.126953125 
770,96.126953125 
780,96.126953125 
790,96.126953125 
793,96.126953125 
