time,size_sent,size_rcv 
0,0.2015625,0.2890625 
10,0.3328125,0.43359375 
20,0.10390625,0.14453125 
30,0,0 
40,0.30546875,0.43359375 
50,0.36640625,0.43359375 
60,0.678125,0.8671875 
70,1.16953125,1.4453125 
80,1.440625,1.734375 
90,0.63828125,0.8671875 
100,1.6703125,2.16796875 
110,1.29765625,1.734375 
120,1.315625,1.58984375 
130,1.725,2.16796875 
140,0.97109375,1.30078125 
150,0.55546875,0.72265625 
160,0,0 
170,0,0 
180,8.0296875,10.1171875 
190,3.3890625,4.3359375 
200,0,0 
210,0,0 
220,0,0 
230,0,0 
240,0,0 
250,0,0 
260,0,0 
270,0,0 
280,0,0 
290,0,0 
300,0.43671875,0.578125 
310,0.43671875,0.578125 
320,0.10390625,0.14453125 
330,0.13125,0.14453125 
340,0.22890625,0.2890625 
350,0.13125,0.14453125 
360,0.10390625,0.14453125 
370,0.7234375,1.01171875 
380,0.790625,1.01171875 
390,0.90703125,1.15625 
400,1.45703125,2.0234375 
410,1.196875,1.4453125 
420,1.27578125,1.58984375 
430,1.22734375,1.58984375 
440,0.528125,0.72265625 
450,0.56796875,0.72265625 
460,1.85078125,2.45703125 
470,0.62890625,0.72265625 
480,3.296875,4.19140625 
490,8.225,10.26171875 
500,0,0 
510,0,0 
520,0,0 
530,0,0 
540,0,0 
550,0,0 
560,0,0 
570,0,0 
580,0,0 
590,0,0 
600,0.23515625,0.2890625 
610,0.36640625,0.43359375 
620,0.56171875,0.72265625 
630,0.56171875,0.72265625 
640,0,0 
650,0,0 
660,0.8578125,1.01171875 
670,1.57890625,2.0234375 
680,0.95859375,1.30078125 
690,1.5203125,1.87890625 
700,1.184375,1.58984375 
710,1.34375,1.734375 
720,1.21171875,1.4453125 
730,1.1296875,1.4453125 
740,1.03203125,1.30078125 
750,0.5953125,0.72265625 
760,0,0 
770,0,0 
780,3.58125,4.3359375 
790,8.0515625,10.1171875 
793,0,0 
