time,users,connected 
0,1,0 
10,1,0 
20,1,0 
30,1,0 
40,1,0 
50,1,0 
60,2,0 
70,2,0 
80,3,0 
90,3,0 
100,3,0 
110,3,0 
120,3,0 
130,3,0 
140,3,0 
150,3,0 
160,3,0 
170,3,0 
180,4,0 
190,4,0 
200,4,0 
210,4,0 
220,4,0 
230,4,0 
240,4,0 
250,4,0 
260,4,0 
270,4,0 
280,4,0 
290,4,0 
300,4,0 
310,4,0 
320,4,0 
330,4,0 
340,4,0 
350,4,0 
360,4,0 
370,4,0 
380,4,0 
390,4,0 
400,4,0 
410,4,0 
420,4,0 
430,4,0 
440,4,0 
450,4,0 
460,4,0 
470,4,0 
480,4,1 
490,4,-1 
500,4,0 
510,4,0 
520,4,0 
530,4,0 
540,4,0 
550,4,0 
560,4,0 
570,4,0 
580,4,0 
590,4,0 
600,4,0 
610,4,0 
620,4,0 
630,4,0 
640,4,0 
650,4,0 
660,4,0 
670,4,0 
680,4,0 
690,4,1 
700,4,-1 
710,4,0 
720,4,0 
730,4,0 
740,4,0 
750,4,0 
760,4,0 
770,4,0 
780,4,1 
790,9,-1 
793,9,0 
