time,freemem@tsung_controller_96@Wonko-the-Sane 
0,25.3671875 
10,25.3671875 
20,25.3671875 
30,29.0859375 
40,32.72265625 
50,32.72265625 
60,32.72265625 
70,32.72265625 
80,32.72265625 
90,32.72265625 
100,32.72265625 
110,32.72265625 
120,32.72265625 
130,32.72265625 
140,32.72265625 
150,32.72265625 
160,32.72265625 
170,32.72265625 
180,32.72265625 
190,32.72265625 
200,32.72265625 
210,32.72265625 
220,32.72265625 
230,33.18359375 
240,33.18359375 
250,33.18359375 
260,33.18359375 
270,36.92578125 
280,39.578125 
290,39.578125 
300,39.578125 
310,39.578125 
320,39.578125 
330,39.578125 
340,39.578125 
350,39.578125 
360,39.578125 
370,39.578125 
380,39.578125 
390,39.578125 
400,39.578125 
410,39.578125 
420,39.578125 
430,39.578125 
440,39.578125 
450,39.578125 
460,39.578125 
470,39.578125 
480,39.578125 
490,39.578125 
500,39.578125 
510,39.578125 
520,39.578125 
530,39.578125 
540,39.578125 
550,39.578125 
560,39.578125 
570,39.578125 
580,44.76171875 
590,44.76171875 
600,44.76171875 
610,44.76171875 
620,44.76171875 
630,44.76171875 
640,44.76171875 
650,44.76171875 
660,44.76171875 
670,44.76171875 
680,44.76171875 
690,44.76171875 
700,44.76171875 
710,44.76171875 
720,44.76171875 
730,48.69921875 
740,48.69921875 
750,48.69921875 
760,48.69921875 
770,48.69921875 
780,48.69921875 
790,48.69921875 
