time,freemem@tsung_controller_96@Wonko-the-Sane 
0,25.3671875 
10,21.296875 
20,17.203125 
30,29.0859375 
40,32.72265625 
50,31.66015625 
60,27.390625 
70,17.26953125 
80,16.22265625 
90,27.25 
100,30.3515625 
110,26.1796875 
120,23.0625 
130,31.53125 
140,17.3515625 
150,18.04296875 
160,21.0078125 
170,27.203125 
180,23.24609375 
190,22.296875 
200,17.73828125 
210,29.359375 
220,28.5078125 
230,33.18359375 
240,29.16015625 
250,27.6640625 
260,24.30078125 
270,36.92578125 
280,39.578125 
290,34.46484375 
300,33.98046875 
310,31.83984375 
320,17.8828125 
330,28.21484375 
340,25.26953125 
350,23.5234375 
360,21.59765625 
370,25.3359375 
380,21.37890625 
390,27.64453125 
400,21.04296875 
410,29.78125 
420,23.64453125 
430,27.921875 
440,22.51953125 
450,23.68359375 
460,30.39453125 
470,33.53125 
480,32.15625 
490,29.69921875 
500,31.7421875 
510,28.54296875 
520,25.87890625 
530,24.23046875 
540,15.375 
550,26.0078125 
560,28.10546875 
570,33.9375 
580,44.76171875 
590,44.55859375 
600,41.89453125 
610,37.953125 
620,35.453125 
630,36.3671875 
640,33.6640625 
650,29.66015625 
660,28.02734375 
670,32.1796875 
680,32.69140625 
690,27.1328125 
700,26.9140625 
710,28.765625 
720,26.5 
730,48.69921875 
740,17.75 
750,36.60546875 
760,26.08984375 
770,23.8515625 
780,20.76953125 
790,17.1640625 
