time,load@tsung_controller_96@Wonko-the-Sane 
0,1.75390625 
10,1.75390625 
20,1.75390625 
30,1.75390625 
40,1.75390625 
50,1.75390625 
60,1.75390625 
70,1.75390625 
80,1.75390625 
90,1.75390625 
100,1.75390625 
110,1.7734375 
120,1.7734375 
130,1.7734375 
140,1.80078125 
150,1.83203125 
160,1.83203125 
170,1.83203125 
180,1.83203125 
190,1.83203125 
200,1.83203125 
210,1.83203125 
220,1.83203125 
230,1.83203125 
240,1.83203125 
250,1.83203125 
260,1.83203125 
270,1.83203125 
280,1.83203125 
290,1.83203125 
300,1.83203125 
310,1.83203125 
320,1.83203125 
330,1.83203125 
340,1.83203125 
350,1.83203125 
360,1.83203125 
370,1.83203125 
380,1.984375 
390,1.984375 
400,1.984375 
410,1.984375 
420,1.984375 
430,1.984375 
440,1.984375 
450,1.984375 
460,1.984375 
470,1.984375 
480,1.984375 
490,1.98828125 
500,1.98828125 
510,1.98828125 
520,1.98828125 
530,1.98828125 
540,1.98828125 
550,1.98828125 
560,1.98828125 
570,1.98828125 
580,1.98828125 
590,1.98828125 
600,1.98828125 
610,1.98828125 
620,1.98828125 
630,1.98828125 
640,1.98828125 
650,1.98828125 
660,1.98828125 
670,1.98828125 
680,1.98828125 
690,1.98828125 
700,1.98828125 
710,1.98828125 
720,1.98828125 
730,1.98828125 
740,1.98828125 
750,1.98828125 
760,1.98828125 
770,1.98828125 
780,2.30859375 
790,2.30859375 
