time,load@tsung_controller_96@Wonko-the-Sane 
0,1.75390625 
10,1.71875 
20,1.60546875 
30,1.60546875 
40,1.5625 
50,1.5625 
60,1.5625 
70,1.5625 
80,1.5625 
90,1.5625 
100,1.5625 
110,1.5625 
120,1.5625 
130,1.5625 
140,1.5625 
150,1.5625 
160,1.5625 
170,1.5625 
180,1.5625 
190,1.5625 
200,1.5625 
210,1.5625 
220,1.546875 
230,1.53515625 
240,1.53125 
250,1.5234375 
260,1.44140625 
270,1.44140625 
280,1.44140625 
290,1.44140625 
300,1.44140625 
310,1.44140625 
320,1.44140625 
330,1.44140625 
340,1.44140625 
350,1.44140625 
360,1.44140625 
370,1.44140625 
380,1.44140625 
390,1.44140625 
400,1.44140625 
410,1.44140625 
420,1.44140625 
430,1.44140625 
440,1.44140625 
450,1.44140625 
460,1.44140625 
470,1.44140625 
480,1.44140625 
490,1.44140625 
500,1.44140625 
510,1.44140625 
520,1.44140625 
530,1.44140625 
540,1.44140625 
550,1.44140625 
560,1.44140625 
570,1.44140625 
580,1.44140625 
590,1.44140625 
600,1.44140625 
610,1.44140625 
620,1.44140625 
630,1.44140625 
640,1.44140625 
650,1.44140625 
660,1.44140625 
670,1.44140625 
680,1.44140625 
690,1.44140625 
700,1.44140625 
710,1.44140625 
720,1.44140625 
730,1.44140625 
740,1.44140625 
750,1.44140625 
760,1.44140625 
770,1.44140625 
780,1.44140625 
790,1.44140625 
